AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0.005600000000000001,0.004399999999999999,0.027999999999999997,0.04360000000000001,0.014799999999999999,0.041600000000000005,0.0068000000000000005,0.03,0.010400000000000001,0.0,0.002,0.0172,0.005600000000000001,0.0,0.076,0.0128,0.0256,I need to take a break
0.0076,0.0084,0.0336,0.044000000000000004,0.021200000000000004,0.0596,0.0072,0.0308,0.010400000000000001,0.0,0.004,0.0116,0.016399999999999998,0.0,0.0764,0.013600000000000001,0.018,I need to take a break
0.0132,0.032799999999999996,0.0344,0.05639999999999999,0.0152,0.056799999999999996,0.005600000000000001,0.028399999999999998,0.01,0.0,0.0,0.0076,0.0144,0.0,0.0556,0.018,0.0256,I need to take a break
0.0236,0.027200000000000002,0.0124,0.0648,0.013999999999999999,0.027599999999999996,0.0048000000000000004,0.02,0.0008,0.0,0.0032,0.0124,0.028399999999999998,0.0,0.047599999999999996,0.0124,0.024399999999999998,I need to take a break
0.0252,0.03,0.021200000000000004,0.0376,0.0084,0.0304,0.008799999999999999,0.012,0.0,0.0,0.0,0.016,0.0116,0.0064,0.0368,0.0324,0.022400000000000003,I need to take a break
0.0248,0.032,0.0396,0.036,0.0144,0.0324,0.0,0.020800000000000003,0.0124,0.0,0.0016,0.014799999999999999,0.0032,0.010400000000000001,0.004399999999999999,0.0132,0.0344,I need to take a break
0.022000000000000002,0.0232,0.0256,0.0472,0.013999999999999999,0.03319999999999999,0.0,0.0072,0.0092,0.0,0.005200000000000001,0.0252,0.0084,0.0108,0.0024000000000000002,0.0,0.0316,I need to take a break
0.0168,0.0084,0.021200000000000004,0.03,0.0168,0.0356,0.0032,0.0124,0.0116,0.0,0.0016,0.0168,0.01,0.0064,0.0028000000000000004,0.0032,0.03319999999999999,I need to take a break
0.0144,0.017599999999999998,0.028399999999999998,0.046799999999999994,0.0172,0.0504,0.012,0.013999999999999999,0.0152,0.0,0.0,0.0012000000000000001,0.0008,0.010400000000000001,0.0268,0.016,0.0184,I need to take a break
0.012,0.0032,0.022799999999999997,0.04240000000000001,0.0236,0.038400000000000004,0.0184,0.002,0.012,0.008799999999999999,0.0028000000000000004,0.0172,0.0,0.0,0.03319999999999999,0.03,0.0632,I need to take a break
0.0,0.0,0.0268,0.024399999999999998,0.022799999999999997,0.0348,0.04240000000000001,0.0128,0.0144,0.0,0.013600000000000001,0.022799999999999997,0.0,0.0,0.054000000000000006,0.0512,0.0484,I need to take a break
0.009600000000000001,0.0156,0.0156,0.0196,0.0196,0.0484,0.0464,0.0268,0.0204,0.0,0.006,0.0252,0.0,0.0144,0.048799999999999996,0.0556,0.027599999999999996,I need to take a break
0.0196,0.0,0.0068000000000000005,0.0,0.013600000000000001,0.0432,0.03,0.0068000000000000005,0.026000000000000002,0.0092,0.0116,0.016,0.0172,0.0348,0.017599999999999998,0.0396,0.021200000000000004,I need to take a break
0.011200000000000002,0.016,0.011200000000000002,0.0172,0.020800000000000003,0.04360000000000001,0.027999999999999997,0.017599999999999998,0.0376,0.022799999999999997,0.0036,0.0248,0.016399999999999998,0.0356,0.0248,0.0528,0.0108,I need to take a break
0.035199999999999995,0.024,0.012,0.029199999999999997,0.0252,0.0152,0.027599999999999996,0.011200000000000002,0.0356,0.0324,0.0,0.0068000000000000005,0.0008,0.0216,0.044800000000000006,0.057999999999999996,0.0,I need to take a break
0.022799999999999997,0.017599999999999998,0.011200000000000002,0.019200000000000002,0.02,0.0308,0.0304,0.0124,0.04,0.005600000000000001,0.0,0.017599999999999998,0.004,0.022000000000000002,0.05519999999999999,0.0472,0.0,I need to take a break
0.021200000000000004,0.018,0.0188,0.0116,0.0188,0.0184,0.0336,0.008799999999999999,0.0412,0.0024000000000000002,0.0,0.0028000000000000004,0.0,0.0064,0.0616,0.0472,0.0,I need to take a break
0.005600000000000001,0.0,0.0108,0.012,0.0236,0.028399999999999998,0.0364,0.016399999999999998,0.036,0.0,0.0048000000000000004,0.004399999999999999,0.0,0.0108,0.0668,0.0516,0.0,I need to take a break
0.020800000000000003,0.0172,0.024,0.004399999999999999,0.024399999999999998,0.026000000000000002,0.035199999999999995,0.013600000000000001,0.0368,0.0,0.002,0.0,0.008799999999999999,0.0084,0.0648,0.0412,0.005200000000000001,I need to take a break
0.0388,0.0364,0.0188,0.0188,0.0232,0.026000000000000002,0.028399999999999998,0.009600000000000001,0.029199999999999997,0.0168,0.011200000000000002,0.0,0.0076,0.010400000000000001,0.0536,0.0412,0.012,I need to take a break
